"category_code";"category_name";"price";"price_year_prev";"price_year";"price_quarter";"price_growth";"price_growth_unit";"czechia_price_value_prev";"czechia_price_value"
114201;Mléko polotuèné pasterované; Kè / 1 l;2006;2007;2;3.95;%;14.43;15.0
112101;Hovìzí maso zadní bez kosti; Kè / 1 kg;2006;2007;2;1.89;%;166.06;169.2
111201;Pšenièná mouka hladká; Kè / 1 kg;2006;2007;2;15.88;%;7.43;8.61
112401;Kuøata kuchaná celá; Kè / 1 kg;2006;2007;2;6.13;%;47.13;50.02
111303;Peèivo pšenièné bílé; Kè / 1 kg;2006;2007;2;19.04;%;35.87;42.7
114401;Jogurt bílý netuèný; Kè / 150 g;2006;2007;4;3.08;%;5.84;6.02
117401;Konzumní brambory; Kè / 1 kg;2006;2007;1;96.13;%;8.53;16.73
116103;Banány žluté; Kè / 1 kg;2006;2007;4;-0.96;%;30.23;29.94
114701;Vejce slepièí èerstvá; Kè / 10 ks;2006;2007;4;22.09;%;23.86;29.13
122102;Pøírodní minerální voda uhlièitá; Kè / 1 l;2006;2007;1;0.0;%;7.75;7.75
117101;Rajská jablka èervená kulatá; Kè / 1 kg;2006;2007;4;-6.66;%;47.18;44.04
115201;Rostlinný roztíratelný tuk; Kè / 1 kg;2006;2007;4;5.8;%;68.64;72.62
114201;Mléko polotuèné pasterované; Kè / 1 l;2006;2007;1;2.18;%;14.24;14.55
112101;Hovìzí maso zadní bez kosti; Kè / 1 kg;2006;2007;1;3.49;%;163.19;168.88
111201;Pšenièná mouka hladká; Kè / 1 kg;2006;2007;1;13.55;%;7.23;8.21
112401;Kuøata kuchaná celá; Kè / 1 kg;2006;2007;1;-8.77;%;50.3;45.89
111303;Peèivo pšenièné bílé; Kè / 1 kg;2006;2007;1;22.7;%;33.96;41.67
117106;Mrkev; Kè / 1 kg;2006;2007;4;8.97;%;11.37;12.39
114401;Jogurt bílý netuèný; Kè / 150 g;2006;2007;3;-1.87;%;5.89;5.78
116103;Banány žluté; Kè / 1 kg;2006;2007;3;-1.76;%;28.98;28.47
118101;Cukr krystalový; Kè / 1 kg;2006;2007;4;-3.45;%;22.29;21.52
114701;Vejce slepièí èerstvá; Kè / 10 ks;2006;2007;3;2.01;%;22.9;23.36
117101;Rajská jablka èervená kulatá; Kè / 1 kg;2006;2007;3;-39.28;%;51.38;31.2
213201;Pivo výèepní, svìtlé, lahvové; Kè / 0,5 l;2006;2007;4;3.1;%;8.39;8.65
115201;Rostlinný roztíratelný tuk; Kè / 1 kg;2006;2007;3;-1.7;%;68.95;67.78
111602;Tìstoviny vajeèné; Kè / 1 kg;2006;2007;4;10.62;%;25.98;28.74
111101;Rýže loupaná dlouhozrnná; Kè / 1 kg;2006;2007;4;12.69;%;21.67;24.42
112201;Vepøová peèenì s kostí; Kè / 1 kg;2006;2007;4;-3.1;%;107.44;104.11
111301;Chléb konzumní kmínový; Kè / 1 kg;2006;2007;4;22.24;%;17.27;21.11
112704;Šunkový salám; Kè / 1 kg;2006;2007;4;-2.55;%;117.83;114.82
117106;Mrkev; Kè / 1 kg;2006;2007;3;6.38;%;13.16;14.0
114401;Jogurt bílý netuèný; Kè / 150 g;2006;2007;2;1.91;%;5.75;5.86
116103;Banány žluté; Kè / 1 kg;2006;2007;2;25.5;%;25.65;32.19
118101;Cukr krystalový; Kè / 1 kg;2006;2007;3;-2.02;%;22.27;21.82
114701;Vejce slepièí èerstvá; Kè / 10 ks;2006;2007;2;1.03;%;23.34;23.58
117101;Rajská jablka èervená kulatá; Kè / 1 kg;2006;2007;2;-41.86;%;69.07;40.16
213201;Pivo výèepní, svìtlé, lahvové; Kè / 0,5 l;2006;2007;3;2.03;%;8.37;8.54
115201;Rostlinný roztíratelný tuk; Kè / 1 kg;2006;2007;2;-1.62;%;69.63;68.5
111602;Tìstoviny vajeèné; Kè / 1 kg;2006;2007;3;-0.04;%;26.04;26.03
111101;Rýže loupaná dlouhozrnná; Kè / 1 kg;2006;2007;3;13.26;%;21.12;23.92
112201;Vepøová peèenì s kostí; Kè / 1 kg;2006;2007;3;-2.84;%;106.91;103.87
111301;Chléb konzumní kmínový; Kè / 1 kg;2006;2007;3;9.59;%;17.21;18.86
112704;Šunkový salám; Kè / 1 kg;2006;2007;3;-0.98;%;117.99;116.83
116101;Pomeranèe; Kè / 1 kg;2007;2008;1;9.03;%;25.26;27.54
117401;Konzumní brambory; Kè / 1 kg;2007;2008;2;-28.82;%;17.73;12.62
114501;Eidamská cihla; Kè / 1 kg;2007;2008;1;33.18;%;111.38;148.34
116104;Jablka konzumní; Kè / 1 kg;2007;2008;1;25.99;%;24.55;30.93
122102;Pøírodní minerální voda uhlièitá; Kè / 1 l;2007;2008;2;9.63;%;7.58;8.31
115101;Máslo; Kè / 1 kg;2007;2008;1;18.59;%;103.26;122.46
117103;Papriky; Kè / 1 kg;2007;2008;1;-5.0;%;73.58;69.9
114201;Mléko polotuèné pasterované; Kè / 1 l;2007;2008;2;19.73;%;15.0;17.96
112101;Hovìzí maso zadní bez kosti; Kè / 1 kg;2007;2008;2;3.84;%;169.2;175.7
111201;Pšenièná mouka hladká; Kè / 1 kg;2007;2008;2;54.7;%;8.61;13.32
112401;Kuøata kuchaná celá; Kè / 1 kg;2007;2008;2;22.69;%;50.02;61.37
111303;Peèivo pšenièné bílé; Kè / 1 kg;2007;2008;2;28.43;%;42.7;54.84
114401;Jogurt bílý netuèný; Kè / 150 g;2007;2008;4;4.82;%;6.02;6.31
117401;Konzumní brambory; Kè / 1 kg;2007;2008;1;-38.37;%;16.73;10.31
116103;Banány žluté; Kè / 1 kg;2007;2008;4;-7.48;%;29.94;27.7
114701;Vejce slepièí èerstvá; Kè / 10 ks;2007;2008;4;-9.72;%;29.13;26.3
122102;Pøírodní minerální voda uhlièitá; Kè / 1 l;2007;2008;1;6.97;%;7.75;8.29
117101;Rajská jablka èervená kulatá; Kè / 1 kg;2007;2008;4;-10.33;%;44.04;39.49
115201;Rostlinný roztíratelný tuk; Kè / 1 kg;2007;2008;4;21.73;%;72.62;88.4
114201;Mléko polotuèné pasterované; Kè / 1 l;2007;2008;1;25.64;%;14.55;18.28
112101;Hovìzí maso zadní bez kosti; Kè / 1 kg;2007;2008;1;2.94;%;168.88;173.85
111201;Pšenièná mouka hladká; Kè / 1 kg;2007;2008;1;48.72;%;8.21;12.21
