"av_wages_year_prev";"av_wages_year";"av_wages_quarter";"calculation_type";"calculation_code";"industry";"average_wages_growth";"average_wages_value_prev";"average_wages_value"
;2006;4;pøepoètenı;200;Kulturní, zábavní a rekreaèní èinnosti;;;18128
;2006;4;pøepoètenı;200;"Velkoobchod a maloobchod; opravy a údrba motorovıch vozidel";;;20037
;2006;3;pøepoètenı;200;Zemìdìlství, lesnictví, rybáøství;;;15330
;2006;3;pøepoètenı;200;Administrativní a podpùrné èinnosti;;;14348
;2006;3;pøepoètenı;200;Zpracovatelskı prùmysl;;;18325
;2006;2;pøepoètenı;200;Ostatní èinnosti;;;16376
;2006;2;pøepoètenı;200;Doprava a skladování;;;19176
;2006;1;pøepoètenı;200;Tìba a dobıvání;;;21339
;2006;1;pøepoètenı;200;Profesní, vìdecké a technické èinnosti;;;22377
;2006;4;pøepoètenı;200;Penìnictví a pojišovnictví;;;40713
;2006;3;pøepoètenı;200;Vzdìlávání;;;19431
;2006;3;pøepoètenı;200;"Zásobování vodou; èinnosti související s odpady a sanacemi";;;18059
;2006;2;pøepoètenı;200;Èinnosti v oblasti nemovitostí;;;18743
;2006;2;pøepoètenı;200;Informaèní a komunikaèní èinnosti;;;34879
;2006;1;pøepoètenı;200;Stavebnictví;;;15647
;2006;1;pøepoètenı;200;"Veøejná správa a obrana; povinné sociální zabezpeèení";;;22096
;2006;1;pøepoètenı;200;Vıroba a rozvod elektøiny, plynu, tepla a klimatiz. vzduchu;;;26814
;2006;1;pøepoètenı;200;Zdravotní a sociální péèe;;;18034
;2006;4;pøepoètenı;200;Tìba a dobıvání;;;28803
;2006;4;pøepoètenı;200;Profesní, vìdecké a technické èinnosti;;;28482
;2006;3;pøepoètenı;200;Ubytování, stravování a pohostinství;;;11871
;2006;3;pøepoètenı;200;Kulturní, zábavní a rekreaèní èinnosti;;;16628
;2006;3;pøepoètenı;200;"Velkoobchod a maloobchod; opravy a údrba motorovıch vozidel";;;18161
;2006;2;pøepoètenı;200;Zemìdìlství, lesnictví, rybáøství;;;14422
;2006;2;pøepoètenı;200;Administrativní a podpùrné èinnosti;;;14159
;2006;2;pøepoètenı;200;Zpracovatelskı prùmysl;;;18442
;2006;1;pøepoètenı;200;Ostatní èinnosti;;;15515
;2006;1;pøepoètenı;200;Doprava a skladování;;;17960
;2006;4;pøepoètenı;200;Stavebnictví;;;19907
;2006;4;pøepoètenı;200;"Veøejná správa a obrana; povinné sociální zabezpeèení";;;24876
;2006;4;pøepoètenı;200;Vıroba a rozvod elektøiny, plynu, tepla a klimatiz. vzduchu;;;33277
;2006;4;pøepoètenı;200;Zdravotní a sociální péèe;;;20056
;2006;3;pøepoètenı;200;Penìnictví a pojišovnictví;;;36439
;2006;2;pøepoètenı;200;"Zásobování vodou; èinnosti související s odpady a sanacemi";;;18822
;2006;2;pøepoètenı;200;Vzdìlávání;;;19706
;2006;1;pøepoètenı;200;Èinnosti v oblasti nemovitostí;;;18360
;2006;1;pøepoètenı;200;Informaèní a komunikaèní èinnosti;;;35096
;2006;4;pøepoètenı;200;Ostatní èinnosti;;;17866
;2006;4;pøepoètenı;200;Doprava a skladování;;;20621
;2006;3;pøepoètenı;200;Tìba a dobıvání;;;22104
;2006;3;pøepoètenı;200;Profesní, vìdecké a technické èinnosti;;;23864
;2006;2;pøepoètenı;200;Ubytování, stravování a pohostinství;;;11520
;2006;2;pøepoètenı;200;Kulturní, zábavní a rekreaèní èinnosti;;;16803
;2006;2;pøepoètenı;200;"Velkoobchod a maloobchod; opravy a údrba motorovıch vozidel";;;17690
;2006;1;pøepoètenı;200;Zemìdìlství, lesnictví, rybáøství;;;12894
;2006;1;pøepoètenı;200;Administrativní a podpùrné èinnosti;;;13546
;2006;1;pøepoètenı;200;Zpracovatelskı prùmysl;;;17237
;2006;4;pøepoètenı;200;Èinnosti v oblasti nemovitostí;;;21468
;2006;4;pøepoètenı;200;Informaèní a komunikaèní èinnosti;;;38033
;2006;3;pøepoètenı;200;Stavebnictví;;;18257
;2006;3;pøepoètenı;200;"Veøejná správa a obrana; povinné sociální zabezpeèení";;;22946
;2006;3;pøepoètenı;200;Vıroba a rozvod elektøiny, plynu, tepla a klimatiz. vzduchu;;;27412
;2006;3;pøepoètenı;200;Zdravotní a sociální péèe;;;19271
2006;2007;2;pøepoètenı;200;Tìba a dobıvání;7.63;24021;25855
2006;2007;2;pøepoètenı;200;Profesní, vìdecké a technické èinnosti;10.75;23857;26422
2006;2007;1;pøepoètenı;200;Ubytování, stravování a pohostinství;5.75;11007;11640
2006;2007;1;pøepoètenı;200;Kulturní, zábavní a rekreaèní èinnosti;6.91;15750;16838
2006;2007;1;pøepoètenı;200;"Velkoobchod a maloobchod; opravy a údrba motorovıch vozidel";8.59;17002;18463
2006;2007;4;pøepoètenı;200;Vzdìlávání;4.77;22805;23892
2006;2007;4;pøepoètenı;200;"Zásobování vodou; èinnosti související s odpady a sanacemi";5.95;20858;22099
2006;2007;3;pøepoètenı;200;Èinnosti v oblasti nemovitostí;8.86;18397;20027
2006;2007;3;pøepoètenı;200;Informaèní a komunikaèní èinnosti;9.17;35164;38390
2006;2007;2;pøepoètenı;200;Stavebnictví;6.34;17590;18705
2006;2007;2;pøepoètenı;200;"Veøejná správa a obrana; povinné sociální zabezpeèení";6.34;23220;24691
2006;2007;2;pøepoètenı;200;Vıroba a rozvod elektøiny, plynu, tepla a klimatiz. vzduchu;2.55;29342;30089
2006;2007;2;pøepoètenı;200;Zdravotní a sociální péèe;5.93;18805;19921
2006;2007;1;pøepoètenı;200;Penìnictví a pojišovnictví;7.70;44198;47600
2006;2007;4;pøepoètenı;200;Ubytování, stravování a pohostinství;5.71;12299;13001
2006;2007;4;pøepoètenı;200;Kulturní, zábavní a rekreaèní èinnosti;6.10;18128;19233
2006;2007;4;pøepoètenı;200;"Velkoobchod a maloobchod; opravy a údrba motorovıch vozidel";7.54;20037;21548
